Unnamed: 0,2025-10-01 00:00:00,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Total Amount,Project Name,HLL CSR Maharashtra,HLL CSR Malappuram,"Powergrid Thinkal, Karnataka",CSL Andaman,IOCL Panipat,Swasthya ,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,Exploring the correlation and Diagnostic potential of Menstrual Blood,LSGB,HR Revenue,,,,,,,,,,,,,,,,,,,,,,,,
,HMA Core  TeamSalary @5%,0,5007,8409,6250,0,5555.5,7346.25,10714,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
,HR Expenses @5%,0,1364.14,6065.84,739.55,0,4651.625,9791.75,8880,0,,0,,31492.905,,,,,,,,,,,,,,,,,,,,,,
,HMA Admin Expenses @5%,7848.6,7200,6607,6250,57853.83,0,15000,9000,0,,11889,,,,,,,,,,,,,,,,,,,,,,,,
,Total,7848.6,13571.14,21081.84,13239.55,57853.83,10207.125,32138,28594,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booked amount,Project Name,HLL CSR Maharashtra,HLL CSR Malappuram,"Powergrid Thinkal, Karnataka",CSL Andaman,IOCL Panipat,Swasthya ,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,Exploring the correlation and Diagnostic potential of Menstrual Blood,LSGB,HR Revenue,,,,,,,,,,,,,,,,,,,,,,,,
,HMA Core  TeamSalary @5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HR Expenses @5%,0,1364.14,6065.84,739.55,0,4651.625,9791.75,8880,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,HMA Admin Expenses @5%,7848.6,7200,6607,6250,57853.83,0,15000,9000,0,17189.17,11889,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Avilable,Project Name,HLL CSR Maharashtra,HLL CSR Malappuram,"Powergrid Thinkal, Karnataka",CSL Andaman,IOCL Panipat,Swasthya ,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,Exploring the correlation and Diagnostic potential of Menstrual Blood,LSGB,HR Revenue,,,,,,,,,,,,,,,,,,,,,,,,
,HMA Core  TeamSalary @5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HR Expenses @5%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,HMA Admin Expenses @5%,0,0,0,0,0,0,0,0,0,-17189.17,0,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,HR @ 5% CSR,,,,,,,,,,,,,HR Revenue,,ADMIN CHARGES TOTAL,,,,,,,,,,,TOTAL,BALANCE
,Sl No,Vendor,Service,Payment frequency,Annual commitment,Monthly Average,"Actual 
expense",HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,LSGB,HR REVENUE,,Month,HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,"HLL Cotton Hill, Trivandrum",Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,HMA HR REVENUE,LSGB,,
